keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
διασκεδάσανε,0.75,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.4375
κολακεύοντας,0.75,0.666666666667,0.666666666667,0.0,0.25,0.0,0.375,0.0,0.25
συμπόνιες,0.75,0.75,0.5,0.0,0.0,0.0,0.25,0.25,0.25
γεμίσαμε,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
σύννεφων,0.5,0.0,1.0,0.0,0.0625,0.1875,0.0,0.25,0.25
δούλο,0.75,0.0,0.75,0.3125,0.5,0.0,0.0,0.0625,0.1875
μπακαλόχαρτων,0.75,0.0,1.0,0.0,0.4375,0.0,0.0,0.0,0.1875
πασαλείψουνε,0.375,0.0,0.5,0.25,0.375,0.0,0.0,0.0,0.25
άδειούς,0.375,0.0,0.5,0.125,0.125,0.0,0.0,0.25,0.0
ανεκδήλωτο,0.25,0.25,0.5,0.0625,0.0,0.0,0.0,0.0,0.0
καραγκιοζλίδικό,0.625,0.0,1.0,0.375,0.4375,0.0,0.0,0.0,0.3125
νυστάξαμε,0.5,0.0,0.75,0.0,0.1875,0.0,0.0,0.0625,0.25
εντιμότατη,0.5,0.75,0.0,0.0,0.0,0.0,0.4375,0.0,0.375
καβαλικέψαμε,0.375,0.0,0.5,0.1875,0.25,0.0,0.0,0.0,0.25
άσπονδέ,0.5,0.0,0.75,0.5,0.375,0.0625,0.0,0.125,0.125
καραγκιοζιλίδικά,0.625,0.0,1.0,0.375,0.4375,0.0,0.0,0.0,0.3125
πυρώνουνε,0.25,0.0,0.5,0.1875,0.25,0.125,0.0,0.0,0.25
καταχαρούμενούς,0.75,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.3125
αναρριπίσει,0.625,1.0,0.25,0.25,0.25,0.25,0.6875,0.25,0.1875
ξεπατικώσετε,0.375,0.0,0.75,0.1875,0.25,0.0,0.0,0.0,0.25
κατάπιε,0.25,0.0,0.5,0.125,0.0625,0.25,0.0,0.0,0.1875
μνημειωδέστερου,0.625,0.75,0.5,0.0,0.0625,0.0,0.3125,0.0,0.4375
ζούρλας,0.5,0.25,0.75,0.25,0.3125,0.0,0.125,0.0,0.375
μπατσικό,0.75,0.0,1.0,0.375,0.5625,0.125,0.0,0.0,0.1875
σουβλιών,0.625,0.0,0.75,0.0625,0.25,0.125,0.0,0.125,0.4375
σβίγκου,0.25,0.0,0.5,0.0625,0.3125,0.0,0.0,0.0,0.1875
επιπόλαιας,0.5,0.0,0.75,0.1875,0.3125,0.0625,0.0,0.0,0.25
αγανακτημένος,1.0,0.0,1.0,1.0,0.625,0.0625,0.0,0.125,0.125
ειρωνευτώ,0.5,0.0,0.75,0.25,0.375,0.0,0.0,0.0625,0.25
υποφέρετε,0.5,0.0,0.75,0.0625,0.25,0.25,0.0,0.4375,0.125
στυφότερος,0.625,0.0,1.0,0.125,0.375,0.0,0.0,0.1875,0.1875
παρεξηγήσεών,0.25,0.0,0.5,0.125,0.0625,0.0,0.0,0.0,0.3125
εξυπνακίστικες,0.875,0.0,1.0,0.3125,0.5,0.0,0.0,0.0,0.25
αρχιμασόνους,0.625,0.0,0.75,0.4375,0.375,0.25,0.0,0.125,0.25
γαργαλήσαμε,0.25,0.5,0.0,0.0,0.0,0.0,0.4375,0.0,0.375
